major:1000 minor:111,1000,111,1.3426697174211801,103.67964450269938,3,-70,
major:888 minor:8,888,8,1.3426127361282394,103.67959018796682,4,-67,
major:1000 minor:104,1000,104,1.342095,103.679339,4,-74,
major:888 minor:10,888,10,1.342547,103.679779,4,-65,
major:888 minor:12,888,12,1.342733,103.679705,4,-63,
major:888 minor:11,888,11,1.3424369999999999,103.67966799999999,4,-62,
major:1000 minor:114,1000,114,1.3424803384130437,103.67970954626799,3,-73,
major:1000 minor:112,1000,112,1.342153,103.679397,4,-69,
major:888 minor:7,888,7,1.3425661455406803,103.6795398965478,4,-64,
major:1000 minor:125,1000,125,1.3424300607978126,103.6796186864376,4,-71,
major:1000 minor:116,1000,116,1.3426003343172437,103.67983561009169,4,-67,
major:1000 minor:110,1000,110,1.3423070482281685,103.679553642869,4,-68,
major:888 minor:4,888,4,1.342674,103.67964699999999,4,-67,
major:1000 minor:102,1000,102,1.3420844859611119,103.67926899343729,4,-65,
major:1000 minor:101,1000,101,1.3424984383542853,103.6795962229371,3,-71,
major:888 minor:5,888,5,1.3424783273084726,103.6797209456563,4,-64,
major:1000 minor:106,1000,106,1.342215,103.679453,4,-64,
major:1000 minor:120,1000,120,1.3427853559233305,103.67976453155279,4,-64,
major:1000 minor:121,1000,121,1.3426067028147934,103.67958717048168,3,-69,
major:1000 minor:118,1000,118,1.3425383252613488,103.6797672137618,3,-76,
major:1000 minor:109,1000,109,1.3423744202357524,103.67961633950472,4,-66,
major:1000 minor:103,1000,103,1.3424370996640023,103.6796636134386,3,-76,
major:888 minor:9,888,9,1.342507823508946,103.67959421128035,4,-62,
major:1000 minor:108,1000,108,1.342263,103.67949999999999,4,-68,
major:1000 minor:119,1000,119,1.3425648048043293,103.67953587323427,3,-76,
